Date,Affected pages
2026-05-01,90
2026-05-02,90
2026-05-03,90
2026-05-04,90
2026-05-05,89
2026-05-06,89
2026-05-07,89
2026-05-08,89
2026-05-09,76
2026-05-10,76
2026-05-11,76
2026-05-12,75
2026-05-13,75
2026-05-14,75
2026-05-15,75
2026-05-16,84
2026-05-17,84
2026-05-18,84
2026-05-19,89
2026-05-20,89
2026-05-21,89
2026-05-22,89
2026-05-23,88
2026-05-24,88
2026-05-25,88
2026-05-26,89
2026-05-27,89
2026-05-28,89
2026-05-29,89
2026-05-30,89
2026-05-31,89
2026-06-01,89
2026-06-02,99
2026-06-03,99
2026-06-04,99
2026-06-05,99
2026-06-06,103
2026-06-07,103
2026-06-08,103
2026-06-09,109
2026-06-10,109
2026-06-11,109
2026-06-12,109
2026-06-13,114
2026-06-14,114
2026-06-15,114
2026-06-16,114
2026-06-17,114
2026-06-18,114
2026-06-19,114
2026-06-20,114
2026-06-21,114
2026-06-22,114
2026-06-23,114
2026-06-24,114
2026-06-25,114
2026-06-26,114
2026-06-27,114
2026-06-28,114
2026-06-29,114
2026-06-30,114
2026-07-01,116
2026-07-02,116
2026-07-03,116
2026-07-04,116
2026-07-05,116
2026-07-06,116
2026-07-07,116
2026-07-08,116
2026-07-09,116
2026-07-10,116
2026-07-11,105
2026-07-12,105
2026-07-13,105
2026-07-14,105
2026-07-15,105
2026-07-16,105
2026-07-17,105
2026-07-18,105
2026-07-19,105
2026-07-20,105
2026-07-21,105
2026-07-22,105
2026-07-23,105
2026-07-24,105
