Date,Clicks,Impressions,CTR,Position
2026-06-04,11,585,1.88%,8
2026-06-05,1,489,0.2%,7.8
2026-06-06,3,476,0.63%,7.9
2026-06-07,5,481,1.04%,7.7
2026-06-08,4,557,0.72%,6.9
2026-06-09,6,513,1.17%,7.8
2026-06-10,3,447,0.67%,7.1
2026-06-11,5,384,1.3%,7.5
2026-06-12,3,383,0.78%,8.8
2026-06-13,2,333,0.6%,7.9
2026-06-14,4,901,0.44%,7.9
2026-06-15,0,639,0%,8
2026-06-16,2,568,0.35%,5.9
2026-06-17,3,546,0.55%,7
2026-06-18,4,759,0.53%,6.1
2026-06-19,0,482,0%,7.1
2026-06-20,1,603,0.17%,6.2
2026-06-21,3,882,0.34%,5.6
2026-06-22,0,567,0%,8.8
2026-06-23,2,498,0.4%,6.5
2026-06-24,4,432,0.93%,6.5
2026-06-25,2,505,0.4%,5.5
2026-06-26,2,594,0.34%,5.7
2026-06-27,4,500,0.8%,6.5
2026-06-28,1,367,0.27%,9.2
2026-06-29,2,325,0.62%,9.7
2026-06-30,2,272,0.74%,10.2
2026-07-01,2,194,1.03%,11
2026-07-02,3,233,1.29%,9.8
2026-07-03,2,153,1.31%,10.6
2026-07-04,1,137,0.73%,10.6
2026-07-05,1,124,0.81%,13.4
2026-07-06,2,150,1.33%,13.7
2026-07-07,3,164,1.83%,14.1
2026-07-08,2,194,1.03%,10.9
2026-07-09,1,185,0.54%,13.2
2026-07-10,4,223,1.79%,10.9
2026-07-11,3,266,1.13%,18.5
2026-07-12,4,201,1.99%,15.4
2026-07-13,6,192,3.12%,13.5
2026-07-14,2,173,1.16%,17.1
2026-07-15,2,179,1.12%,14.2
2026-07-16,1,173,0.58%,11.7
2026-07-17,1,172,0.58%,13.4
2026-07-18,3,178,1.69%,12
2026-07-19,2,137,1.46%,13.7
2026-07-20,2,182,1.1%,14.3
2026-07-21,1,277,0.36%,10.1
2026-07-22,8,458,1.75%,8.4
2026-07-23,2,430,0.47%,9.8
2026-07-24,8,555,1.44%,10.2
2026-07-25,9,402,2.24%,14.1
2026-07-26,2,490,0.41%,16.1
2026-07-27,3,531,0.56%,15.8
2026-07-28,5,540,0.93%,16.9
2026-07-29,5,533,0.94%,16.5
2026-07-30,3,508,0.59%,17.8
2026-07-31,5,503,0.99%,20.1
2026-08-01,0,485,0%,19
2026-08-02,1,464,0.22%,20.9
2026-08-03,1,445,0.22%,18.4
2026-08-04,4,530,0.75%,17.9
2026-08-05,6,396,1.52%,19.6
2026-08-06,1,442,0.23%,22.1
2026-08-07,4,289,1.38%,15.5
2026-08-08,3,372,0.81%,21.7
2026-08-09,1,321,0.31%,25.4
2026-08-10,7,361,1.94%,25.3
2026-08-11,1,345,0.29%,28.6
2026-08-12,3,311,0.96%,30.3
2026-08-13,3,318,0.94%,33.6
2026-08-14,1,192,0.52%,21.2
2026-08-15,2,224,0.89%,20.6
2026-08-16,4,271,1.48%,27
2026-08-17,2,292,0.68%,26.7
2026-08-18,3,243,1.23%,25.5
2026-08-19,3,233,1.29%,29.8
2026-08-20,6,245,2.45%,25.6
2026-08-21,2,211,0.95%,27.4
2026-08-22,4,204,1.96%,24
2026-08-23,4,215,1.86%,23.8
2026-08-24,2,209,0.96%,25.7
2026-08-25,8,270,2.96%,25.1
2026-08-26,5,254,1.97%,31.3
2026-08-27,3,218,1.38%,25.7
2026-08-28,4,202,1.98%,24.7
2026-08-29,7,235,2.98%,22.9
2026-08-30,4,240,1.67%,25.6
2026-08-31,3,246,1.22%,24
2026-09-01,5,277,1.81%,21.4
2026-09-02,3,282,1.06%,21.3
2026-09-03,4,388,1.03%,20.9
