Country,Clicks,Impressions,CTR,Position
Iran,204,10314,1.98%,15.03
France,30,2802,1.07%,20.77
United States,6,7893,0.08%,8.41
India,5,917,0.55%,21.77
Morocco,4,412,0.97%,12.43
Germany,3,628,0.48%,10.76
Nigeria,3,83,3.61%,10.42
Canada,2,826,0.24%,11.82
Brazil,2,213,0.94%,13.03
Russia,2,178,1.12%,15.78
Tunisia,2,128,1.56%,6.38
Madagascar,2,69,2.9%,5.8
Benin,2,42,4.76%,5.31
United Kingdom,1,894,0.11%,18.71
Netherlands,1,793,0.13%,9.63
Vietnam,1,515,0.19%,24.98
Indonesia,1,390,0.26%,22.69
Algeria,1,369,0.27%,11.99
Italy,1,285,0.35%,11.74
Australia,1,154,0.65%,22.72
Japan,1,123,0.81%,6.69
Saudi Arabia,1,123,0.81%,22.08
Lebanon,1,122,0.82%,10.06
Romania,1,70,1.43%,10.49
Poland,1,62,1.61%,10.37
Guinea,1,59,1.69%,7
Congo - Brazzaville,1,55,1.82%,4.93
South Africa,1,43,2.33%,11
Serbia,1,29,3.45%,4.66
Kazakhstan,1,27,3.7%,8.78
Chile,1,23,4.35%,12.87
Togo,1,22,4.55%,5.45
Sri Lanka,1,15,6.67%,3.67
Albania,1,8,12.5%,10.12
Costa Rica,1,7,14.29%,40.43
Zimbabwe,1,2,50%,3
Mozambique,1,2,50%,4.5
Philippines,0,384,0%,28.35
Turkey,0,280,0%,24.43
Malaysia,0,211,0%,23.51
Pakistan,0,186,0%,17.61
Spain,0,167,0%,20.54
Bangladesh,0,163,0%,30.75
Thailand,0,148,0%,29.2
Egypt,0,127,0%,8.47
United Arab Emirates,0,125,0%,11.64
Mexico,0,115,0%,18.66
Hong Kong,0,112,0%,9.73
South Korea,0,104,0%,9.37
Côte d’Ivoire,0,103,0%,5.61
Greece,0,94,0%,9.7
Cameroon,0,87,0%,7.34
China,0,81,0%,6.89
Switzerland,0,80,0%,11.15
Belgium,0,78,0%,11.41
Ukraine,0,78,0%,23.27
Taiwan,0,64,0%,8.77
Jordan,0,64,0%,29.61
Ireland,0,63,0%,11.57
Senegal,0,59,0%,5.93
Singapore,0,56,0%,10.71
Iraq,0,56,0%,19.36
Armenia,0,53,0%,7.34
Norway,0,52,0%,9.42
Colombia,0,51,0%,13.12
Sweden,0,51,0%,15.84
Argentina,0,49,0%,12.37
Congo - Kinshasa,0,47,0%,5.72
Afghanistan,0,39,0%,8.1
Bulgaria,0,38,0%,6.89
Portugal,0,38,0%,9.68
Hungary,0,29,0%,16.14
New Zealand,0,29,0%,20.62
Israel,0,28,0%,32.61
Chad,0,26,0%,5.81
Finland,0,25,0%,9.04
Ecuador,0,25,0%,11.24
Denmark,0,25,0%,13.04
Haiti,0,24,0%,5.83
Qatar,0,23,0%,3.96
Mauritius,0,23,0%,11.04
Azerbaijan,0,22,0%,6.59
Austria,0,22,0%,8.5
Kuwait,0,22,0%,13.14
Peru,0,21,0%,9.48
Mali,0,20,0%,5.55
Nepal,0,20,0%,11.15
Cyprus,0,19,0%,5.21
Georgia,0,19,0%,6.89
Belarus,0,18,0%,6.78
Luxembourg,0,17,0%,16.35
Uzbekistan,0,16,0%,5.44
Ghana,0,16,0%,5.75
Comoros,0,16,0%,5.94
Venezuela,0,16,0%,9.44
Lithuania,0,16,0%,16.38
Gabon,0,15,0%,3.47
Ethiopia,0,15,0%,8.73
Estonia,0,15,0%,9.87
Kenya,0,15,0%,15.47
Syria,0,14,0%,4.57
Mauritania,0,14,0%,6
Czechia,0,14,0%,7.43
Bahrain,0,13,0%,8.15
Latvia,0,12,0%,4.5
Slovakia,0,12,0%,5.67
Malta,0,12,0%,7.17
Moldova,0,11,0%,6.73
Cambodia,0,11,0%,11
Bolivia,0,11,0%,17.64
El Salvador,0,10,0%,5.5
Slovenia,0,10,0%,6.5
Palestine,0,8,0%,5.12
Panama,0,8,0%,7.25
Zambia,0,7,0%,5.14
Martinique,0,7,0%,9.86
Dominican Republic,0,7,0%,34.71
Djibouti,0,6,0%,4
Croatia,0,6,0%,5.33
Libya,0,6,0%,5.67
Oman,0,6,0%,6.5
Angola,0,6,0%,15.5
Réunion,0,5,0%,4.6
Somalia,0,5,0%,5.4
Burundi,0,5,0%,5.6
Burkina Faso,0,5,0%,5.8
Uganda,0,5,0%,7
Central African Republic,0,5,0%,7.2
Myanmar (Burma),0,5,0%,7.4
Bosnia & Herzegovina,0,5,0%,8.4
Jersey,0,4,0%,5.75
Jamaica,0,4,0%,6
Trinidad & Tobago,0,4,0%,6
Sierra Leone,0,4,0%,6.5
Tanzania,0,4,0%,8
Montenegro,0,4,0%,8.25
Bahamas,0,4,0%,8.5
Yemen,0,4,0%,57.75
Nicaragua,0,3,0%,3
Guatemala,0,3,0%,4
Timor-Leste,0,3,0%,4.33
Barbados,0,3,0%,7
Mongolia,0,3,0%,8.33
Macedonia,0,3,0%,9
Laos,0,3,0%,9.33
Honduras,0,3,0%,23.67
Sudan,0,3,0%,33
Monaco,0,3,0%,44.33
Gambia,0,2,0%,4.5
Brunei,0,2,0%,5
Rwanda,0,2,0%,5.5
Turkmenistan,0,2,0%,5.5
Fiji,0,2,0%,6
Niger,0,2,0%,6
Guyana,0,2,0%,6.5
Cuba,0,2,0%,8
French Polynesia,0,2,0%,12
Paraguay,0,2,0%,13.5
Uruguay,0,2,0%,14
Iceland,0,2,0%,22
Liechtenstein,0,2,0%,34.5
Kosovo,0,2,0%,37.5
Tajikistan,0,1,0%,1
Vanuatu,0,1,0%,1
St. Kitts & Nevis,0,1,0%,2
São Tomé & Príncipe,0,1,0%,2
Equatorial Guinea,0,1,0%,3
Macau,0,1,0%,3
Aruba,0,1,0%,6
Cayman Islands,0,1,0%,8
U.S. Virgin Islands,0,1,0%,8
Cape Verde,0,1,0%,9
Guadeloupe,0,1,0%,9
Maldives,0,1,0%,9
Puerto Rico,0,1,0%,9
Seychelles,0,1,0%,9
Kyrgyzstan,0,1,0%,11
French Guiana,0,1,0%,12
Unknown Region,0,1,0%,47
