Date,Clicks,Impressions,CTR,Position
2026-06-06,1,98,1.02%,7.7
2026-06-07,3,100,3%,7.3
2026-06-08,2,70,2.86%,7.8
2026-06-09,3,102,2.94%,7.4
2026-06-10,1,115,0.87%,7.2
2026-06-11,2,54,3.7%,7.4
2026-06-12,2,61,3.28%,7.6
2026-06-13,1,62,1.61%,7.7
2026-06-14,4,76,5.26%,7.9
2026-06-15,0,68,0%,7.4
2026-06-16,2,69,2.9%,6.9
2026-06-17,1,117,0.85%,8.1
2026-06-18,0,115,0%,8
2026-06-19,0,120,0%,7.2
2026-06-20,1,119,0.84%,8.1
2026-06-21,2,87,2.3%,8.1
2026-06-22,0,100,0%,8.2
2026-06-23,2,103,1.94%,8.1
2026-06-24,3,97,3.09%,8.2
2026-06-25,0,92,0%,8
2026-06-26,0,137,0%,7
2026-06-27,3,119,2.52%,7.6
2026-06-28,0,156,0%,7.3
2026-06-29,2,137,1.46%,8.6
2026-06-30,2,86,2.33%,8.2
2026-07-01,1,39,2.56%,11
2026-07-02,2,57,3.51%,7.5
2026-07-03,1,42,2.38%,9.5
2026-07-04,1,73,1.37%,8.3
2026-07-05,0,28,0%,8.2
2026-07-06,2,35,5.71%,6.2
2026-07-07,3,47,6.38%,9
2026-07-08,1,83,1.2%,8.6
2026-07-09,1,69,1.45%,8.2
2026-07-10,3,98,3.06%,8
2026-07-11,3,82,3.66%,7.8
2026-07-12,3,81,3.7%,7.6
2026-07-13,5,78,6.41%,7.8
2026-07-14,2,56,3.57%,8.5
2026-07-15,2,101,1.98%,8.8
2026-07-16,1,79,1.27%,7.5
2026-07-17,0,79,0%,7.5
2026-07-18,3,102,2.94%,7.7
2026-07-19,0,78,0%,7.5
2026-07-20,2,110,1.82%,7.9
2026-07-21,0,88,0%,8.2
2026-07-22,1,94,1.06%,7.9
2026-07-23,0,101,0%,7.8
2026-07-24,3,211,1.42%,8
2026-07-25,4,123,3.25%,17.8
2026-07-26,0,154,0%,20
2026-07-27,2,139,1.44%,19.9
2026-07-28,1,204,0.49%,16
2026-07-29,4,227,1.76%,14.4
2026-07-30,3,232,1.29%,10.7
2026-07-31,5,271,1.85%,18.4
2026-08-01,0,246,0%,13.4
2026-08-02,1,217,0.46%,14
2026-08-03,1,203,0.49%,18.2
2026-08-04,4,329,1.22%,13.8
2026-08-05,3,180,1.67%,17
2026-08-06,0,225,0%,19
2026-08-07,4,158,2.53%,7
2026-08-08,2,274,0.73%,22.1
2026-08-09,0,94,0%,26.9
2026-08-10,5,155,3.23%,21.7
2026-08-11,1,131,0.76%,22.5
2026-08-12,3,112,2.68%,10.1
2026-08-13,2,115,1.74%,15.6
2026-08-14,0,49,0%,7.4
2026-08-15,1,92,1.09%,6.2
2026-08-16,2,121,1.65%,25.9
2026-08-17,2,134,1.49%,23.1
2026-08-18,3,150,2%,18.2
2026-08-19,2,102,1.96%,25
2026-08-20,5,132,3.79%,17.9
2026-08-21,2,107,1.87%,23.6
2026-08-22,2,104,1.92%,23
2026-08-23,4,138,2.9%,20.3
2026-08-24,2,95,2.11%,22.9
2026-08-25,8,170,4.71%,15
2026-08-26,4,116,3.45%,22.6
2026-08-27,2,135,1.48%,18.6
2026-08-28,3,125,2.4%,17.6
2026-08-29,5,188,2.66%,14.8
2026-08-30,4,146,2.74%,18
2026-08-31,3,143,2.1%,17.6
2026-09-01,5,144,3.47%,20.7
2026-09-02,3,152,1.97%,22.3
2026-09-03,2,139,1.44%,21.1
2026-09-04,4,178,2.25%,16.6
2026-09-05,4,150,2.67%,21.1
