Country,Clicks,Impressions,CTR,Position
Iran,35,7076,0.49%,17.95
United States,0,48,0%,9.9
France,0,45,0%,7.09
Germany,0,38,0%,9.45
Netherlands,0,16,0%,12.94
Turkey,0,12,0%,9
Pakistan,0,11,0%,5.73
Afghanistan,0,11,0%,8.73
Italy,0,10,0%,7.7
Canada,0,6,0%,9.17
United Kingdom,0,5,0%,6.2
India,0,5,0%,6.6
Finland,0,5,0%,9.4
Russia,0,5,0%,12.8
Iraq,0,5,0%,15.6
Switzerland,0,4,0%,8.75
Azerbaijan,0,3,0%,6
Sweden,0,3,0%,8
Cyprus,0,2,0%,4
Belgium,0,2,0%,5.5
Australia,0,2,0%,6.5
Japan,0,2,0%,8
Portugal,0,2,0%,10.5
Slovakia,0,1,0%,1
Somalia,0,1,0%,2
Malaysia,0,1,0%,4
Ireland,0,1,0%,6
Armenia,0,1,0%,9
Poland,0,1,0%,9
United Arab Emirates,0,1,0%,11
Kuwait,0,1,0%,11
