Date,Clicks,Impressions,CTR,Position
2026-06-06,0,7,0%,8
2026-06-07,0,4,0%,8.5
2026-06-08,0,8,0%,8.9
2026-06-09,0,7,0%,12.9
2026-06-10,0,5,0%,10.4
2026-06-11,0,3,0%,13
2026-06-12,1,5,20%,9.6
2026-06-13,0,6,0%,13.2
2026-06-14,0,9,0%,12.2
2026-06-15,0,7,0%,12
2026-06-16,0,2,0%,5.5
2026-06-17,0,5,0%,14
2026-06-18,0,1,0%,6
2026-06-19,0,8,0%,10
2026-06-20,0,4,0%,10.5
2026-06-21,0,4,0%,14
2026-06-22,0,6,0%,12.2
2026-06-23,0,4,0%,7.8
2026-06-24,0,8,0%,11
2026-06-25,0,7,0%,9.4
2026-06-26,0,5,0%,11.8
2026-06-27,0,9,0%,11.7
2026-06-28,0,5,0%,14.2
2026-06-29,0,7,0%,10.3
2026-06-30,0,5,0%,20
2026-07-01,1,7,14.29%,14.9
2026-07-02,0,5,0%,16
2026-07-03,0,7,0%,12.4
2026-07-04,0,4,0%,16.2
2026-07-05,0,5,0%,14
2026-07-06,1,3,33.33%,4.3
2026-07-07,0,5,0%,13.4
2026-07-08,0,5,0%,15.4
2026-07-09,0,2,0%,7.5
2026-07-10,0,5,0%,13.8
2026-07-11,0,4,0%,13.2
2026-07-12,0,6,0%,12.8
2026-07-13,0,6,0%,12.2
2026-07-14,0,4,0%,13
2026-07-15,0,4,0%,10.8
2026-07-16,0,7,0%,9.3
2026-07-17,0,7,0%,9.6
2026-07-18,0,6,0%,17.2
2026-07-19,0,11,0%,10
2026-07-20,0,6,0%,9.8
2026-07-21,0,9,0%,6.7
2026-07-22,1,13,7.69%,7.7
2026-07-23,0,5,0%,12.6
2026-07-24,1,9,11.11%,10.6
2026-07-25,0,20,0%,33.2
2026-07-26,0,25,0%,36.4
2026-07-27,0,21,0%,32.5
2026-07-28,0,24,0%,35.2
2026-07-29,0,29,0%,32.2
2026-07-30,0,16,0%,32.6
2026-07-31,1,38,2.63%,38.4
2026-08-01,0,33,0%,28.8
2026-08-02,0,23,0%,34.4
2026-08-03,0,34,0%,34
2026-08-04,2,29,6.9%,37.3
2026-08-05,0,25,0%,42.2
2026-08-06,0,35,0%,43.7
2026-08-07,1,13,7.69%,9.3
2026-08-08,1,54,1.85%,45.8
2026-08-09,1,35,2.86%,38.3
2026-08-10,0,33,0%,40.1
2026-08-11,0,32,0%,36.7
2026-08-12,0,11,0%,38.9
2026-08-13,1,18,5.56%,30.6
2026-08-14,0,6,0%,8.7
2026-08-15,0,7,0%,9.7
2026-08-16,0,29,0%,40.5
2026-08-17,0,32,0%,40.6
2026-08-18,1,30,3.33%,39.7
2026-08-19,0,28,0%,46.8
2026-08-20,0,22,0%,37.8
2026-08-21,0,19,0%,34.7
2026-08-22,0,20,0%,28.6
2026-08-23,0,18,0%,36.7
2026-08-24,0,18,0%,31.2
2026-08-25,0,20,0%,32.4
2026-08-26,0,20,0%,32.3
2026-08-27,0,15,0%,34
2026-08-28,2,16,12.5%,26.6
2026-08-29,1,17,5.88%,31
2026-08-30,1,19,5.26%,32.3
2026-08-31,1,15,6.67%,28.3
2026-09-01,1,16,6.25%,34
2026-09-02,0,21,0%,35.7
2026-09-03,0,21,0%,30.7
2026-09-04,3,23,13.04%,27.3
2026-09-05,3,21,14.29%,24.9
