Date,Clicks,Impressions,CTR,Position
2026-06-06,0,4,0%,7.2
2026-06-07,0,1,0%,5
2026-06-08,0,6,0%,7.5
2026-06-09,0,2,0%,13.5
2026-06-10,0,1,0%,7
2026-06-11,0,0,,
2026-06-12,0,0,,
2026-06-13,0,0,,
2026-06-14,0,3,0%,3.3
2026-06-15,0,1,0%,7
2026-06-16,0,1,0%,16
2026-06-17,0,0,,
2026-06-18,0,1,0%,17
2026-06-19,0,2,0%,12
2026-06-20,0,2,0%,18
2026-06-21,0,1,0%,26
2026-06-22,0,0,,
2026-06-23,0,2,0%,8
2026-06-24,0,2,0%,10
2026-06-25,0,0,,
2026-06-26,0,0,,
2026-06-27,0,4,0%,10.5
2026-06-28,0,0,,
2026-06-29,0,0,,
2026-06-30,0,0,,
2026-07-01,1,2,50%,18
2026-07-02,0,1,0%,13
2026-07-03,0,1,0%,4
2026-07-04,0,2,0%,10
2026-07-05,0,1,0%,21
2026-07-06,0,1,0%,5
2026-07-07,0,1,0%,6
2026-07-08,0,1,0%,10
2026-07-09,0,1,0%,5
2026-07-10,0,0,,
2026-07-11,0,1,0%,9
2026-07-12,0,0,,
2026-07-13,0,3,0%,8.3
2026-07-14,0,0,,
2026-07-15,0,1,0%,9
2026-07-16,0,2,0%,9
2026-07-17,0,4,0%,9.5
2026-07-18,0,0,,
2026-07-19,0,2,0%,9.5
2026-07-20,0,0,,
2026-07-21,0,3,0%,10.7
2026-07-22,0,1,0%,10
2026-07-23,0,1,0%,15
2026-07-24,0,1,0%,9
2026-07-25,0,6,0%,17
2026-07-26,0,11,0%,21.5
2026-07-27,0,8,0%,24.9
2026-07-28,0,6,0%,24.5
2026-07-29,0,6,0%,21.8
2026-07-30,0,8,0%,25.8
2026-07-31,0,12,0%,18.8
2026-08-01,0,10,0%,20.8
2026-08-02,0,7,0%,22.7
2026-08-03,0,11,0%,16.5
2026-08-04,0,8,0%,20.5
2026-08-05,0,5,0%,25.4
2026-08-06,0,10,0%,19.2
2026-08-07,0,4,0%,9.8
2026-08-08,0,17,0%,24
2026-08-09,1,8,12.5%,29.1
2026-08-10,0,8,0%,33.6
2026-08-11,0,11,0%,18.4
2026-08-12,0,0,,
2026-08-13,0,5,0%,21.2
2026-08-14,0,3,0%,7.3
2026-08-15,0,1,0%,24
2026-08-16,0,8,0%,21.2
2026-08-17,0,11,0%,21.1
2026-08-18,0,6,0%,24.8
2026-08-19,0,7,0%,34
2026-08-20,0,12,0%,25
2026-08-21,0,9,0%,20.9
2026-08-22,0,6,0%,24.7
2026-08-23,0,7,0%,33.1
2026-08-24,0,7,0%,20.6
2026-08-25,0,7,0%,23.9
2026-08-26,0,8,0%,23.5
2026-08-27,0,7,0%,24
2026-08-28,0,6,0%,23.8
2026-08-29,0,8,0%,31.8
2026-08-30,0,7,0%,25.6
2026-08-31,0,6,0%,26.2
2026-09-01,0,7,0%,25.3
2026-09-02,0,7,0%,23.9
2026-09-03,0,8,0%,22.5
2026-09-04,0,6,0%,24.5
2026-09-05,0,6,0%,27.5
