Date,Clicks,Impressions,CTR,Position
2026-05-26,1,98,1.02%,7.9
2026-05-27,1,61,1.64%,7.7
2026-05-28,0,52,0%,8
2026-05-29,0,57,0%,8.2
2026-05-30,2,49,4.08%,8.6
2026-05-31,1,43,2.33%,7.9
2026-06-01,2,56,3.57%,8.7
2026-06-02,2,86,2.33%,9.1
2026-06-03,0,90,0%,8.4
2026-06-04,1,80,1.25%,8.6
2026-06-05,0,20,0%,8.3
2026-06-06,0,36,0%,8.1
2026-06-07,0,37,0%,8.3
2026-06-08,0,33,0%,8
2026-06-09,0,27,0%,8.6
2026-06-10,0,31,0%,8.2
2026-06-11,2,20,10%,8.9
2026-06-12,1,23,4.35%,7.5
2026-06-13,0,23,0%,8.8
2026-06-14,0,31,0%,9.8
2026-06-15,0,26,0%,7.8
2026-06-16,0,22,0%,5.6
2026-06-17,0,24,0%,7.7
2026-06-18,0,26,0%,6.6
2026-06-19,0,47,0%,5.6
2026-06-20,0,34,0%,6.3
2026-06-21,0,30,0%,8
2026-06-22,0,28,0%,7.7
2026-06-23,0,19,0%,7.6
2026-06-24,0,27,0%,8.6
2026-06-25,0,20,0%,8.1
2026-06-26,0,25,0%,8.8
2026-06-27,0,26,0%,10
2026-06-28,0,29,0%,8.3
2026-06-29,1,28,3.57%,10.4
2026-06-30,0,27,0%,11.3
2026-07-01,1,23,4.35%,9.7
2026-07-02,0,29,0%,8.9
2026-07-03,0,23,0%,9.8
2026-07-04,1,29,3.45%,9.2
2026-07-05,0,17,0%,10.5
2026-07-06,1,17,5.88%,5.8
2026-07-07,0,11,0%,12.7
2026-07-08,0,26,0%,9.3
2026-07-09,0,23,0%,8.3
2026-07-10,1,18,5.56%,9.9
2026-07-11,0,16,0%,7.8
2026-07-12,0,25,0%,9.7
2026-07-13,0,23,0%,8.3
2026-07-14,0,16,0%,8.4
2026-07-15,0,22,0%,7.9
2026-07-16,0,20,0%,6.4
2026-07-17,0,21,0%,6.9
2026-07-18,1,23,4.35%,10.1
2026-07-19,0,21,0%,8.7
2026-07-20,0,21,0%,7.2
2026-07-21,0,15,0%,6.7
2026-07-22,1,25,4%,7.3
2026-07-23,0,23,0%,9.3
2026-07-24,1,29,3.45%,7.8
2026-07-25,1,58,1.72%,33.4
2026-07-26,0,81,0%,32.7
2026-07-27,0,62,0%,32.9
2026-07-28,0,76,0%,30.8
2026-07-29,0,81,0%,29
2026-07-30,1,72,1.39%,20.1
2026-07-31,2,120,1.67%,31.8
2026-08-01,0,88,0%,24
2026-08-02,0,75,0%,30.4
2026-08-03,0,89,0%,32.5
2026-08-04,2,105,1.9%,27.5
2026-08-05,1,80,1.25%,31
2026-08-06,0,95,0%,33.1
2026-08-07,1,41,2.44%,9
2026-08-08,2,139,1.44%,37.3
2026-08-09,1,72,1.39%,34.7
2026-08-10,0,83,0%,37.5
2026-08-11,0,77,0%,36
2026-08-12,0,40,0%,19.6
2026-08-13,1,53,1.89%,26.8
2026-08-14,0,25,0%,8
2026-08-15,0,20,0%,12
2026-08-16,0,94,0%,34.8
2026-08-17,0,91,0%,34.3
2026-08-18,1,73,1.37%,34.2
2026-08-19,0,70,0%,35.3
2026-08-20,0,79,0%,29.2
2026-08-21,1,68,1.47%,35.9
2026-08-22,0,68,0%,33.6
2026-08-23,0,73,0%,34.9
2026-08-24,0,65,0%,32.4
2026-08-25,0,62,0%,32.6
