Country,Clicks,Impressions,CTR,Position
Iran,34,4127,0.82%,21.41
France,1,42,2.38%,8.5
United States,0,17,0%,9.76
Germany,0,15,0%,10.07
Netherlands,0,9,0%,7.67
Italy,0,9,0%,8.11
Turkey,0,9,0%,10
Canada,0,8,0%,12.38
India,0,6,0%,18
Afghanistan,0,5,0%,8.2
United Kingdom,0,3,0%,6
Switzerland,0,3,0%,8.67
Pakistan,0,2,0%,6
Sweden,0,2,0%,7
Iraq,0,2,0%,9
Finland,0,2,0%,10.5
Russia,0,2,0%,25.5
Tajikistan,0,1,0%,1
Cyprus,0,1,0%,2
French Guiana,0,1,0%,5
Belgium,0,1,0%,6
Ireland,0,1,0%,6
Nigeria,0,1,0%,8
Malaysia,0,1,0%,10
United Arab Emirates,0,1,0%,11
Brazil,0,1,0%,11
Colombia,0,1,0%,11
Greece,0,1,0%,11
Japan,0,1,0%,11
Kuwait,0,1,0%,11
Poland,0,1,0%,11
Qatar,0,1,0%,11
Norway,0,1,0%,13
Bangladesh,0,1,0%,23
Indonesia,0,1,0%,23
Thailand,0,1,0%,29
