Date,Clicks,Impressions,CTR,Position
2026-04-23,11,464,2.37%,7.1
2026-04-24,6,410,1.46%,7.2
2026-04-25,10,248,4.03%,8.6
2026-04-26,7,290,2.41%,8.1
2026-04-27,9,246,3.66%,9.6
2026-04-28,3,292,1.03%,8.1
2026-04-29,10,306,3.27%,8.5
2026-04-30,10,299,3.34%,9.8
2026-05-01,3,257,1.17%,10.4
2026-05-02,5,224,2.23%,8.5
2026-05-03,3,254,1.18%,8.7
2026-05-04,4,288,1.39%,9.5
2026-05-05,7,272,2.57%,10.7
2026-05-06,8,256,3.12%,9.5
2026-05-07,7,260,2.69%,11.3
2026-05-08,5,324,1.54%,9.7
2026-05-09,3,334,0.9%,9.2
2026-05-10,3,508,0.59%,8.8
2026-05-11,4,281,1.42%,9.6
2026-05-12,6,348,1.72%,8.1
2026-05-13,8,332,2.41%,9.8
2026-05-14,11,317,3.47%,10.8
2026-05-15,7,293,2.39%,9
2026-05-16,10,295,3.39%,9.4
2026-05-17,4,296,1.35%,9.7
2026-05-18,5,268,1.87%,10.3
2026-05-19,4,282,1.42%,9.1
2026-05-20,6,314,1.91%,10.9
2026-05-21,5,268,1.87%,10
2026-05-22,9,293,3.07%,9.8
2026-05-23,4,325,1.23%,9.8
2026-05-24,19,442,4.3%,9.5
2026-05-25,10,480,2.08%,9.2
2026-05-26,6,403,1.49%,10.2
2026-05-27,7,411,1.7%,10.2
2026-05-28,4,395,1.01%,10.2
2026-05-29,11,458,2.4%,8.5
2026-05-30,8,420,1.9%,10.2
2026-05-31,5,452,1.11%,9.4
2026-06-01,10,573,1.75%,9.1
2026-06-02,13,789,1.65%,7.8
2026-06-03,4,801,0.5%,7.3
2026-06-04,11,585,1.88%,8
2026-06-05,1,489,0.2%,7.8
2026-06-06,3,476,0.63%,7.9
2026-06-07,5,481,1.04%,7.7
2026-06-08,4,557,0.72%,6.9
2026-06-09,6,513,1.17%,7.8
2026-06-10,3,447,0.67%,7.1
2026-06-11,5,384,1.3%,7.5
2026-06-12,3,383,0.78%,8.8
2026-06-13,2,333,0.6%,7.9
2026-06-14,4,901,0.44%,7.9
2026-06-15,0,639,0%,8
2026-06-16,2,568,0.35%,5.9
2026-06-17,3,546,0.55%,7
2026-06-18,4,759,0.53%,6.1
2026-06-19,0,482,0%,7.1
2026-06-20,1,603,0.17%,6.2
2026-06-21,3,882,0.34%,5.6
2026-06-22,0,567,0%,8.8
2026-06-23,2,498,0.4%,6.5
2026-06-24,4,432,0.93%,6.5
2026-06-25,2,505,0.4%,5.5
2026-06-26,2,594,0.34%,5.7
2026-06-27,4,500,0.8%,6.5
2026-06-28,1,367,0.27%,9.2
2026-06-29,2,325,0.62%,9.7
2026-06-30,2,272,0.74%,10.2
2026-07-01,2,194,1.03%,11
2026-07-02,3,233,1.29%,9.8
2026-07-03,2,153,1.31%,10.6
2026-07-04,1,137,0.73%,10.6
2026-07-05,1,124,0.81%,13.4
2026-07-06,2,150,1.33%,13.7
2026-07-07,3,164,1.83%,14.1
2026-07-08,2,194,1.03%,10.9
2026-07-09,1,185,0.54%,13.2
2026-07-10,4,223,1.79%,10.9
2026-07-11,3,266,1.13%,18.5
2026-07-12,4,201,1.99%,15.4
2026-07-13,6,192,3.12%,13.5
2026-07-14,2,173,1.16%,17.1
2026-07-15,2,179,1.12%,14.2
2026-07-16,1,173,0.58%,11.7
2026-07-17,1,172,0.58%,13.4
2026-07-18,3,178,1.69%,12
2026-07-19,2,137,1.46%,13.7
2026-07-20,2,182,1.1%,14.3
2026-07-21,1,277,0.36%,10.1
2026-07-22,8,458,1.75%,8.4
