Country,Clicks,Impressions,CTR,Position
Iran,347,11985,2.9%,7.82
France,34,2267,1.5%,8.5
United States,6,9323,0.06%,7.94
Germany,4,569,0.7%,9.88
India,3,665,0.45%,12.06
Canada,2,921,0.22%,9.9
Italy,2,278,0.72%,10.18
Brazil,2,264,0.76%,12.65
Morocco,2,195,1.03%,9.9
Taiwan,2,69,2.9%,7.93
Kazakhstan,2,30,6.67%,9.5
United Kingdom,1,643,0.16%,14.93
Netherlands,1,628,0.16%,10.46
Indonesia,1,268,0.37%,8.33
Australia,1,188,0.53%,21.42
Turkey,1,170,0.59%,10.08
Japan,1,145,0.69%,6.85
Lebanon,1,125,0.8%,8.98
Romania,1,87,1.15%,8.94
Russia,1,86,1.16%,10.47
Bangladesh,1,83,1.2%,14.41
Nigeria,1,64,1.56%,8.48
South Africa,1,48,2.08%,10.65
Côte d’Ivoire,1,46,2.17%,6.54
Portugal,1,46,2.17%,8.65
Iraq,1,44,2.27%,13.41
Chile,1,32,3.12%,8.41
Madagascar,1,31,3.23%,6.39
Serbia,1,28,3.57%,5.96
Benin,1,17,5.88%,7.94
Albania,1,15,6.67%,6.53
Guatemala,1,6,16.67%,4.67
Mozambique,1,2,50%,4.5
Zimbabwe,1,1,100%,3
Vietnam,0,404,0%,17.7
Philippines,0,208,0%,9.26
Malaysia,0,155,0%,7.05
Spain,0,151,0%,12.53
Pakistan,0,148,0%,12.56
Hong Kong,0,115,0%,10.05
Mexico,0,114,0%,12.01
Singapore,0,113,0%,8.78
Greece,0,108,0%,8.15
United Arab Emirates,0,108,0%,10.17
Belgium,0,107,0%,9.53
South Korea,0,103,0%,8.16
Algeria,0,102,0%,9.11
China,0,98,0%,6.95
Switzerland,0,98,0%,11.04
Poland,0,88,0%,7.83
Egypt,0,79,0%,10.15
Afghanistan,0,76,0%,7.58
Saudi Arabia,0,76,0%,8.57
Ireland,0,67,0%,10.79
Tunisia,0,66,0%,7.33
Thailand,0,65,0%,11.29
Argentina,0,60,0%,11
Norway,0,57,0%,6.93
Colombia,0,50,0%,13.62
Sweden,0,48,0%,13.65
Cameroon,0,46,0%,10.02
Armenia,0,43,0%,7.56
Ukraine,0,41,0%,8.02
Finland,0,37,0%,7.78
Austria,0,37,0%,10.95
Azerbaijan,0,36,0%,10.67
New Zealand,0,33,0%,17.82
Bulgaria,0,31,0%,6.42
Peru,0,30,0%,6.57
Qatar,0,30,0%,6.77
Hungary,0,29,0%,11.34
Ecuador,0,29,0%,13.1
Israel,0,28,0%,14.29
Denmark,0,26,0%,8.38
Sri Lanka,0,25,0%,5.88
Venezuela,0,24,0%,11.04
Lithuania,0,23,0%,6.43
Luxembourg,0,23,0%,6.96
Jordan,0,23,0%,12.09
Czechia,0,18,0%,8
Cambodia,0,18,0%,11.89
Oman,0,18,0%,12.28
Georgia,0,17,0%,8.94
Estonia,0,17,0%,9.18
Cyprus,0,16,0%,5.69
Slovakia,0,16,0%,6.25
Kuwait,0,16,0%,14
Congo - Brazzaville,0,15,0%,6
Uzbekistan,0,15,0%,9.87
Senegal,0,15,0%,10.6
Mauritius,0,15,0%,11.33
Kenya,0,15,0%,14.07
Latvia,0,14,0%,4.79
Moldova,0,14,0%,7.79
Panama,0,14,0%,12.21
El Salvador,0,13,0%,5.69
Belarus,0,13,0%,6.31
Slovenia,0,13,0%,7.92
Congo - Kinshasa,0,13,0%,10.62
Nepal,0,13,0%,11
Ethiopia,0,12,0%,9.5
Palestine,0,12,0%,10.5
Jamaica,0,12,0%,12.42
Ghana,0,11,0%,6.91
Myanmar (Burma),0,11,0%,8.91
Bolivia,0,11,0%,10.36
Togo,0,10,0%,8.7
Bahrain,0,10,0%,11
Costa Rica,0,10,0%,11.1
Uruguay,0,10,0%,17.2
Zambia,0,9,0%,5.56
Mongolia,0,9,0%,9.56
Réunion,0,8,0%,4.25
Uganda,0,8,0%,9.75
Croatia,0,7,0%,5.57
Guinea,0,7,0%,7.29
Montenegro,0,7,0%,8.43
Macedonia,0,7,0%,8.86
Libya,0,7,0%,9
Paraguay,0,7,0%,11
Gabon,0,6,0%,5
Bosnia & Herzegovina,0,6,0%,7.33
Djibouti,0,6,0%,7.67
Trinidad & Tobago,0,6,0%,8
Chad,0,6,0%,8.5
Martinique,0,5,0%,3.8
Syria,0,5,0%,4.8
Jersey,0,5,0%,6.2
Mali,0,5,0%,6.4
Angola,0,5,0%,12
Somalia,0,4,0%,5
Nicaragua,0,4,0%,6.5
Cuba,0,4,0%,6.75
Mauritania,0,4,0%,7
Kosovo,0,4,0%,9
Puerto Rico,0,4,0%,10
Laos,0,4,0%,10.75
Namibia,0,4,0%,11
Kyrgyzstan,0,4,0%,14.75
Honduras,0,4,0%,15.5
Burundi,0,3,0%,3.67
Comoros,0,3,0%,4
Timor-Leste,0,3,0%,4.33
Malta,0,3,0%,6
Tanzania,0,3,0%,6.67
Fiji,0,3,0%,7
Haiti,0,3,0%,7
Rwanda,0,3,0%,7
Barbados,0,3,0%,7.33
French Guiana,0,3,0%,7.33
Unknown Region,0,3,0%,7.67
Seychelles,0,3,0%,10.33
Monaco,0,3,0%,24.33
Macau,0,2,0%,3
Turkmenistan,0,2,0%,3.5
St. Kitts & Nevis,0,2,0%,4.5
Sudan,0,2,0%,6
Guyana,0,2,0%,6.5
Bahamas,0,2,0%,9
Belize,0,2,0%,10.5
Central African Republic,0,2,0%,11
Dominican Republic,0,2,0%,20.5
Samoa,0,1,0%,1
Gambia,0,1,0%,2
Equatorial Guinea,0,1,0%,3
Aruba,0,1,0%,6
Sierra Leone,0,1,0%,6
Grenada,0,1,0%,7
Andorra,0,1,0%,8
Brunei,0,1,0%,8
U.S. Virgin Islands,0,1,0%,8
Cape Verde,0,1,0%,9
Guadeloupe,0,1,0%,9
Maldives,0,1,0%,9
Burkina Faso,0,1,0%,10
Niger,0,1,0%,10
Yemen,0,1,0%,12
French Polynesia,0,1,0%,13
Liechtenstein,0,1,0%,14
Isle of Man,0,1,0%,33
Iceland,0,1,0%,33
