"Date","Clicks","Impressions","Avg. CTR"
"4/25/2026 12:00:00 AM","0","0","0"
"4/26/2026 12:00:00 AM","0","1","0"
"4/27/2026 12:00:00 AM","0","4","0"
"4/28/2026 12:00:00 AM","0","4","0"
"4/29/2026 12:00:00 AM","0","2","0"
"4/30/2026 12:00:00 AM","0","0","0"
"5/1/2026 12:00:00 AM","0","2","0"
"5/2/2026 12:00:00 AM","0","1","0"
"5/3/2026 12:00:00 AM","0","0","0"
"5/4/2026 12:00:00 AM","0","1","0"
"5/5/2026 12:00:00 AM","0","0","0"
"5/6/2026 12:00:00 AM","0","1","0"
"5/7/2026 12:00:00 AM","0","0","0"
"5/8/2026 12:00:00 AM","0","1","0"
"5/9/2026 12:00:00 AM","0","1","0"
"5/10/2026 12:00:00 AM","0","1","0"
"5/11/2026 12:00:00 AM","0","7","0"
"5/12/2026 12:00:00 AM","0","8","0"
"5/13/2026 12:00:00 AM","0","18","0"
"5/14/2026 12:00:00 AM","0","1","0"
"5/15/2026 12:00:00 AM","0","0","0"
"5/16/2026 12:00:00 AM","0","4","0"
"5/17/2026 12:00:00 AM","0","4","0"
"5/18/2026 12:00:00 AM","0","2","0"
"5/19/2026 12:00:00 AM","0","0","0"
"5/20/2026 12:00:00 AM","0","1","0"
"5/21/2026 12:00:00 AM","0","3","0"
"5/22/2026 12:00:00 AM","0","0","0"
"5/23/2026 12:00:00 AM","0","2","0"
"5/24/2026 12:00:00 AM","1","3","33.33"
"5/25/2026 12:00:00 AM","0","0","0"
"5/26/2026 12:00:00 AM","0","1","0"
"5/27/2026 12:00:00 AM","0","2","0"
"5/28/2026 12:00:00 AM","0","2","0"
"5/29/2026 12:00:00 AM","0","3","0"
"5/30/2026 12:00:00 AM","1","4","25"
"5/31/2026 12:00:00 AM","0","2","0"
"6/1/2026 12:00:00 AM","0","3","0"
"6/2/2026 12:00:00 AM","2","4","50"
"6/3/2026 12:00:00 AM","1","6","16.67"
"6/4/2026 12:00:00 AM","0","2","0"
"6/5/2026 12:00:00 AM","0","1","0"
"6/6/2026 12:00:00 AM","0","4","0"
"6/7/2026 12:00:00 AM","0","0","0"
"6/8/2026 12:00:00 AM","0","3","0"
"6/9/2026 12:00:00 AM","0","4","0"
"6/10/2026 12:00:00 AM","0","1","0"
"6/11/2026 12:00:00 AM","2","10","20"
"6/12/2026 12:00:00 AM","0","3","0"
"6/13/2026 12:00:00 AM","0","2","0"
"6/14/2026 12:00:00 AM","0","3","0"
"6/15/2026 12:00:00 AM","0","7","0"
"6/16/2026 12:00:00 AM","0","2","0"
"6/17/2026 12:00:00 AM","0","5","0"
"6/18/2026 12:00:00 AM","0","4","0"
"6/19/2026 12:00:00 AM","0","1","0"
"6/20/2026 12:00:00 AM","0","2","0"
"6/21/2026 12:00:00 AM","0","4","0"
"6/22/2026 12:00:00 AM","0","4","0"
"6/23/2026 12:00:00 AM","0","2","0"
"6/24/2026 12:00:00 AM","0","6","0"
"6/25/2026 12:00:00 AM","0","5","0"
"6/26/2026 12:00:00 AM","0","0","0"
"6/27/2026 12:00:00 AM","0","5","0"
"6/28/2026 12:00:00 AM","0","3","0"
"6/29/2026 12:00:00 AM","0","3","0"
"6/30/2026 12:00:00 AM","0","1","0"
"7/1/2026 12:00:00 AM","0","0","0"
"7/2/2026 12:00:00 AM","0","6","0"
"7/3/2026 12:00:00 AM","1","3","33.33"
"7/4/2026 12:00:00 AM","0","1","0"
"7/5/2026 12:00:00 AM","0","2","0"
"7/6/2026 12:00:00 AM","0","3","0"
"7/7/2026 12:00:00 AM","0","5","0"
"7/8/2026 12:00:00 AM","0","2","0"
"7/9/2026 12:00:00 AM","0","3","0"
"7/10/2026 12:00:00 AM","0","3","0"
"7/11/2026 12:00:00 AM","0","0","0"
"7/12/2026 12:00:00 AM","0","15","0"
"7/13/2026 12:00:00 AM","0","11","0"
"7/14/2026 12:00:00 AM","0","3","0"
"7/15/2026 12:00:00 AM","0","2","0"
"7/16/2026 12:00:00 AM","0","1","0"
"7/17/2026 12:00:00 AM","0","4","0"
"7/18/2026 12:00:00 AM","0","3","0"
"7/19/2026 12:00:00 AM","0","5","0"
"7/20/2026 12:00:00 AM","0","4","0"
"7/21/2026 12:00:00 AM","0","7","0"
"7/22/2026 12:00:00 AM","0","4","0"
