Date,Clicks,Impressions,CTR,Position
2026-06-06,0,4,0%,9
2026-06-07,0,2,0%,9.5
2026-06-08,0,3,0%,15.3
2026-06-09,0,6,0%,13.8
2026-06-10,0,2,0%,17.5
2026-06-11,0,2,0%,17
2026-06-12,0,2,0%,16.5
2026-06-13,0,5,0%,14.8
2026-06-14,0,6,0%,16.7
2026-06-15,0,4,0%,16.2
2026-06-16,0,0,,
2026-06-17,0,4,0%,15.2
2026-06-18,0,0,,
2026-06-19,0,4,0%,14.8
2026-06-20,0,3,0%,12.3
2026-06-21,0,4,0%,14
2026-06-22,0,4,0%,14.8
2026-06-23,0,1,0%,9
2026-06-24,0,6,0%,13
2026-06-25,0,4,0%,13.5
2026-06-26,0,4,0%,13.8
2026-06-27,0,9,0%,11.7
2026-06-28,0,5,0%,14.2
2026-06-29,0,4,0%,15
2026-06-30,0,5,0%,20
2026-07-01,1,6,16.67%,16.7
2026-07-02,0,5,0%,16
2026-07-03,0,5,0%,15.4
2026-07-04,0,4,0%,16.2
2026-07-05,0,4,0%,16.5
2026-07-06,0,0,,
2026-07-07,0,4,0%,15.2
2026-07-08,0,3,0%,20.3
2026-07-09,0,0,,
2026-07-10,0,4,0%,16.2
2026-07-11,0,2,0%,20
2026-07-12,0,5,0%,14.6
2026-07-13,0,5,0%,13.2
2026-07-14,0,3,0%,16
2026-07-15,0,4,0%,10.8
2026-07-16,0,5,0%,11
2026-07-17,0,5,0%,11.8
2026-07-18,0,5,0%,19.8
2026-07-19,0,8,0%,10.9
2026-07-20,0,5,0%,11.2
2026-07-21,0,6,0%,8
2026-07-22,1,10,10%,8.8
2026-07-23,0,4,0%,14.8
2026-07-24,1,8,12.5%,11.4
2026-07-25,0,18,0%,36.1
2026-07-26,0,21,0%,36.1
2026-07-27,0,17,0%,35
2026-07-28,0,20,0%,38.5
2026-07-29,0,25,0%,34.2
2026-07-30,0,13,0%,34.1
2026-07-31,1,33,3.03%,41.6
2026-08-01,0,28,0%,32.2
2026-08-02,0,20,0%,34.6
2026-08-03,0,30,0%,36.9
2026-08-04,0,22,0%,42.8
2026-08-05,0,20,0%,42
2026-08-06,0,31,0%,45
2026-08-07,0,10,0%,11
2026-08-08,1,47,2.13%,45.7
2026-08-09,0,27,0%,38.4
2026-08-10,0,26,0%,41.4
2026-08-11,0,26,0%,41.6
2026-08-12,0,10,0%,42.3
2026-08-13,0,14,0%,37.9
2026-08-14,0,5,0%,9.4
2026-08-15,0,4,0%,14.8
2026-08-16,0,26,0%,42.2
2026-08-17,0,26,0%,46.6
2026-08-18,0,26,0%,42.8
2026-08-19,0,25,0%,49.6
2026-08-20,0,17,0%,41.1
2026-08-21,0,17,0%,34.9
2026-08-22,0,17,0%,29.5
2026-08-23,0,15,0%,37.4
2026-08-24,0,15,0%,31.7
2026-08-25,0,17,0%,32.6
2026-08-26,0,13,0%,35.9
2026-08-27,0,11,0%,39.9
2026-08-28,1,13,7.69%,32.2
2026-08-29,0,13,0%,39.9
2026-08-30,0,17,0%,35.9
2026-08-31,1,13,7.69%,26.7
2026-09-01,1,14,7.14%,34.2
2026-09-02,0,17,0%,31
2026-09-03,0,16,0%,29.1
2026-09-04,3,15,20%,25.5
2026-09-05,3,19,15.79%,26.9
