Date,Clicks,Impressions,CTR,Position
2026-06-06,0,16,0%,13.6
2026-06-07,0,16,0%,7.2
2026-06-08,0,23,0%,7
2026-06-09,0,11,0%,7.1
2026-06-10,0,11,0%,7.8
2026-06-11,1,14,7.14%,7.5
2026-06-12,0,17,0%,8.6
2026-06-13,0,9,0%,7.8
2026-06-14,0,12,0%,7.7
2026-06-15,0,12,0%,7.1
2026-06-16,0,6,0%,9.2
2026-06-17,1,6,16.67%,6.8
2026-06-18,0,11,0%,8.4
2026-06-19,0,15,0%,8.2
2026-06-20,0,12,0%,7.3
2026-06-21,0,10,0%,8
2026-06-22,0,4,0%,7.8
2026-06-23,0,6,0%,6.8
2026-06-24,0,10,0%,9
2026-06-25,0,13,0%,9.1
2026-06-26,0,12,0%,10.4
2026-06-27,0,7,0%,8.6
2026-06-28,0,9,0%,7.3
2026-06-29,0,6,0%,11
2026-06-30,0,2,0%,5
2026-07-01,0,6,0%,9.2
2026-07-02,0,1,0%,10
2026-07-03,0,2,0%,7.5
2026-07-04,0,0,,
2026-07-05,1,11,9.09%,15.8
2026-07-06,0,6,0%,44
2026-07-07,0,6,0%,28.2
2026-07-08,1,9,11.11%,14.7
2026-07-09,0,11,0%,32.6
2026-07-10,0,5,0%,37.2
2026-07-11,0,24,0%,41.7
2026-07-12,0,7,0%,38.1
2026-07-13,0,5,0%,28.6
2026-07-14,0,6,0%,21.2
2026-07-15,0,0,,
2026-07-16,0,5,0%,7.8
2026-07-17,0,7,0%,24.9
2026-07-18,0,4,0%,26.2
2026-07-19,0,9,0%,25
2026-07-20,0,7,0%,31.7
2026-07-21,0,9,0%,15.4
2026-07-22,0,8,0%,20.4
2026-07-23,0,26,0%,23.2
2026-07-24,0,53,0%,16.4
2026-07-25,0,47,0%,18.2
2026-07-26,0,40,0%,25.9
2026-07-27,0,38,0%,19.8
2026-07-28,0,59,0%,19.2
2026-07-29,0,68,0%,23.9
2026-07-30,0,74,0%,19
2026-07-31,0,73,0%,21.5
2026-08-01,0,74,0%,24.2
2026-08-02,0,107,0%,23.4
2026-08-03,0,43,0%,22.5
2026-08-04,0,57,0%,17.8
2026-08-05,1,33,3.03%,28.9
2026-08-06,0,39,0%,25.6
2026-08-07,0,59,0%,15.1
2026-08-08,1,42,2.38%,12.5
2026-08-09,1,64,1.56%,29.9
2026-08-10,1,102,0.98%,20.1
2026-08-11,0,84,0%,29
2026-08-12,0,115,0%,35.3
2026-08-13,0,122,0%,39.7
2026-08-14,1,35,2.86%,24.7
2026-08-15,0,77,0%,15.7
2026-08-16,0,43,0%,15.9
2026-08-17,0,73,0%,16.8
2026-08-18,0,88,0%,16.1
2026-08-19,0,41,0%,22.3
2026-08-20,0,64,0%,19.9
2026-08-21,0,54,0%,19.7
2026-08-22,0,37,0%,5.9
2026-08-23,0,41,0%,5.7
2026-08-24,0,30,0%,8.2
2026-08-25,0,100,0%,7.9
2026-08-26,0,30,0%,4.4
2026-08-27,1,41,2.44%,5
2026-08-28,1,81,1.23%,6.3
2026-08-29,0,94,0%,5.9
2026-08-30,0,53,0%,4.3
2026-08-31,0,78,0%,6.5
2026-09-01,0,61,0%,6.6
2026-09-02,0,64,0%,7.1
2026-09-03,1,102,0.98%,7.6
2026-09-04,0,105,0%,5.6
2026-09-05,0,59,0%,6.6
