Country,Clicks,Impressions,CTR,Position
Iran,6,1371,0.44%,6.58
France,0,31,0%,23.84
United States,0,25,0%,59.44
United Kingdom,0,18,0%,60.17
Israel,0,15,0%,54.4
Indonesia,0,14,0%,53.71
Turkey,0,13,0%,49
Netherlands,0,13,0%,54.77
Germany,0,12,0%,29.67
Saudi Arabia,0,12,0%,46.75
India,0,12,0%,64.42
Philippines,0,11,0%,59
Malaysia,0,10,0%,49.1
Vietnam,0,8,0%,44.5
Italy,0,7,0%,42.14
Pakistan,0,6,0%,54.33
Bangladesh,0,6,0%,54.83
Jordan,0,4,0%,33.75
Morocco,0,4,0%,46.75
Thailand,0,4,0%,55.25
Australia,0,4,0%,62
Canada,0,4,0%,66.25
Estonia,0,3,0%,21.67
Brazil,0,3,0%,47
Norway,0,3,0%,50
Mexico,0,3,0%,50.33
Luxembourg,0,3,0%,61
Algeria,0,3,0%,66.33
Hong Kong,0,3,0%,73
Yemen,0,3,0%,74.67
Denmark,0,2,0%,37
United Arab Emirates,0,2,0%,41.5
New Zealand,0,2,0%,55
Ireland,0,2,0%,63.5
Lithuania,0,2,0%,77
Egypt,0,1,0%,1
Tajikistan,0,1,0%,1
Greece,0,1,0%,11
Finland,0,1,0%,12
Switzerland,0,1,0%,34
Hungary,0,1,0%,40
Ukraine,0,1,0%,49
Liechtenstein,0,1,0%,55
Albania,0,1,0%,58
Austria,0,1,0%,59
Belgium,0,1,0%,66
Kosovo,0,1,0%,67
Russia,0,1,0%,68
Kuwait,0,1,0%,69
Lebanon,0,1,0%,76
Sudan,0,1,0%,80
